domain,sld,len,score,dict_hits_edge,full_segmentation,dict_bonus,single_bonus,suffix_bonus,tech_bonus,nature_bonus,values_bonus,compound_bonus,misspelling,len_penalty,price_usd,bid_count,end_date,permalink
castwing.com,castwing,8,13,True,True,8,3,2,0,0,0,0,0,0,15,0,2025-10-24T15:00:00.000Z,https://www.namecheap.com/market/sale/v2pRHcqRg93UKBk1sprrbY/
weekonly.com,weekonly,8,13,True,True,8,3,2,0,0,0,0,0,0,15,0,2025-10-23T15:00:00.000Z,https://www.namecheap.com/market/sale/se56w6NpBHXfSiWVceJ1wn/
heysilly.com,heysilly,8,13,True,True,8,3,2,0,0,0,0,0,0,1,0,2025-10-28T15:00:00.000Z,https://www.namecheap.com/market/sale/oSSg6r9C1uGnbfLexnRVrz/
moodally.com,moodally,8,13,True,True,8,3,2,0,0,0,0,0,0,15,0,2025-10-25T15:00:00.000Z,https://www.namecheap.com/market/sale/hujAxXRoJAENa9zHEajg2A/
tryearly.com,tryearly,8,13,True,True,8,3,2,0,0,0,0,0,0,15,0,2025-10-31T15:00:00.000Z,https://www.namecheap.com/market/sale/7LBcz9wREVx8pL8Rt94oxd/
leafaim.com,leafaim,7,13,True,True,8,3,0,1,1,0,0,0,0,15,0,2025-10-25T15:00:00.000Z,https://www.namecheap.com/market/sale/pSY7DvdeFLQhbRxHFxRnVK/
moonrain.com,moonrain,8,13,True,True,8,3,0,1,1,0,0,0,0,15,0,2025-11-02T15:00:00.000Z,https://www.namecheap.com/market/sale/1muFzB5Y7zKW1hvUW9VDKw/
sheddaily.com,sheddaily,9,13,True,True,8,2,2,1,0,0,0,0,0,1,0,2025-10-22T15:00:00.000Z,https://www.namecheap.com/market/sale/9nh2WKoomWrK7SWko7Xj8C/
blessdaily.com,blessdaily,10,13,True,True,8,2,2,1,0,0,0,0,0,15,0,2025-11-01T15:00:00.000Z,https://www.namecheap.com/market/sale/9Ux88FunqkYBpQEjxEGBhy/
labfur.com,labfur,6,12,True,True,8,3,0,1,0,0,0,0,0,15,0,2025-10-25T15:00:00.000Z,https://www.namecheap.com/market/sale/9upKxw1bnVgpDgLuFDGmah/
mailhat.com,mailhat,7,12,True,True,8,3,0,1,0,0,0,0,0,15,0,2025-10-27T15:00:00.000Z,https://www.namecheap.com/market/sale/vULWZ4wZ3Tq9drwebEdJ4s/
bowlway.com,bowlway,7,12,True,True,8,3,0,0,1,0,0,0,0,15,0,2025-10-26T15:00:00.000Z,https://www.namecheap.com/market/sale/bxWxR2Lgo3bA6cyKA6yiws/
boldash.com,boldash,7,12,True,True,8,3,0,0,0,1,0,0,0,15,0,2025-10-30T15:00:00.000Z,https://www.namecheap.com/market/sale/frsPqcckH8TyxAVbN2EZjM/
pickaid.com,pickaid,7,12,True,True,8,3,0,1,0,0,0,0,0,5,0,2025-10-20T15:00:00.000Z,https://www.namecheap.com/market/sale/kT5tFnmaicaDez7DZKjEUB/
farmaim.com,farmaim,7,12,True,True,8,3,0,1,0,0,0,0,0,1,0,2025-10-26T15:00:00.000Z,https://www.namecheap.com/market/sale/7dxMgxbWevyNE74ZN3vMFu/
bootnext.com,bootnext,8,12,True,True,8,3,0,0,0,1,0,0,0,15,0,2025-10-31T15:00:00.000Z,https://www.namecheap.com/market/sale/1WMDGadn8jBUCD5cXbHSeD/
bowlfind.com,bowlfind,8,12,True,True,8,3,0,0,1,0,0,0,0,15,0,2025-10-26T15:00:00.000Z,https://www.namecheap.com/market/sale/9ewE5BigRmumnQ116c5STa/
calmearn.com,calmearn,8,12,True,True,8,3,0,0,0,1,0,0,0,15,0,2025-11-01T15:00:00.000Z,https://www.namecheap.com/market/sale/eYa5txgdw8DkDBo4XiFrb3/
fixfaith.com,fixfaith,8,12,True,True,8,3,0,1,0,0,0,0,0,15,0,2025-11-02T15:00:00.000Z,https://www.namecheap.com/market/sale/7yxfGbNbKAfJP15TkC7s5B/
earnnext.com,earnnext,8,12,True,True,8,3,0,0,0,1,0,0,0,15,0,2025-10-29T15:00:00.000Z,https://www.namecheap.com/market/sale/wHqq2jHLs4F4MLB8eKwdCh/
genegirl.com,genegirl,8,12,True,True,8,3,0,1,0,0,0,0,0,2,0,2025-10-21T15:00:00.000Z,https://www.namecheap.com/market/sale/9AP45MQ9ogNDvq9sPEJK3N/
bravebay.com,bravebay,8,12,True,True,8,3,0,0,0,1,0,0,0,1,0,2025-11-10T16:00:00.000Z,https://www.namecheap.com/market/sale/n39493zuKBEKH1AAG3SH8s/
cartrock.com,cartrock,8,12,True,True,8,3,0,0,1,0,0,0,0,2,0,2025-10-28T15:00:00.000Z,https://www.namecheap.com/market/sale/4zBHUg6iRMtJ93m4rxbqpm/
trusttoy.com,trusttoy,8,12,True,True,8,3,0,0,0,1,0,0,0,15,0,2025-11-01T15:00:00.000Z,https://www.namecheap.com/market/sale/3XDvdxdMwNQyAPYNWpfiza/
ratefail.com,ratefail,8,12,True,True,8,3,0,1,0,0,0,0,0,15,0,2025-10-24T15:00:00.000Z,https://www.namecheap.com/market/sale/iTJT1ESBtzfKV4N7hnUHDk/
boldmath.com,boldmath,8,12,True,True,8,3,0,0,0,1,0,0,0,15,0,2025-10-23T15:00:00.000Z,https://www.namecheap.com/market/sale/dDtiKSAmkKnLPDKUYBbiAQ/
mainwild.com,mainwild,8,12,True,True,8,3,0,1,0,0,0,0,0,1,0,2025-11-04T16:00:00.000Z,https://www.namecheap.com/market/sale/dN21kDPcW51J9yfvMHUNtP/
examloop.com,examloop,8,12,True,True,8,3,0,1,0,0,0,0,0,15,0,2025-10-22T15:00:00.000Z,https://www.namecheap.com/market/sale/vsGX398xqugMFcRjcbjxCq/
heartaim.com,heartaim,8,12,True,True,8,3,0,1,0,0,0,0,0,2,0,2025-10-31T15:00:00.000Z,https://www.namecheap.com/market/sale/b2yZ8sqL37YvptkcJNWnhL/
nailsize.com,nailsize,8,12,True,True,8,3,0,1,0,0,0,0,0,15,0,2025-10-25T15:00:00.000Z,https://www.namecheap.com/market/sale/pc8XqTWosYkwv43Nwvw81G/
flowlate.com,flowlate,8,12,True,True,8,3,0,0,1,0,0,0,0,15,0,2025-10-20T15:00:00.000Z,https://www.namecheap.com/market/sale/hB1mhYeYnxdBBfT86gwuXM/
boltsong.com,boltsong,8,12,True,True,8,3,0,0,0,1,0,0,0,5,0,2025-10-20T15:00:00.000Z,https://www.namecheap.com/market/sale/btrACuMjGmmfFH3ty2khky/
crazysing.com,crazysing,9,12,True,True,8,2,2,0,0,0,0,0,0,15,0,2025-10-29T15:00:00.000Z,https://www.namecheap.com/market/sale/gC5vSfMJwdBXaa6j3UdM1o/
listrally.com,listrally,9,12,True,True,8,2,2,0,0,0,0,0,0,15,0,2025-10-29T15:00:00.000Z,https://www.namecheap.com/market/sale/oZqG5F5Vv5dTo79RiQESUb/
lendrally.com,lendrally,9,12,True,True,8,2,2,0,0,0,0,0,0,5,0,2025-10-20T15:00:00.000Z,https://www.namecheap.com/market/sale/vpFamJXatEywnXCRXZT7vG/
mostcable.com,mostcable,9,12,True,True,8,2,2,0,0,0,0,0,0,1,0,2025-10-26T15:00:00.000Z,https://www.namecheap.com/market/sale/2VfXZGcSGRHvkgFCvPtc5G/
kitweekly.com,kitweekly,9,12,True,True,8,2,2,0,0,0,0,0,0,15,0,2025-11-01T15:00:00.000Z,https://www.namecheap.com/market/sale/8g19zqCwAQsmV59kAzumWb/
sinsurely.com,sinsurely,9,12,True,True,8,2,2,0,0,0,0,0,0,15,0,2025-10-22T15:00:00.000Z,https://www.namecheap.com/market/sale/vauvcfFWQtEdHLAJ6BVsUg/
flowsafely.com,flowsafely,10,12,True,True,8,2,2,0,0,0,0,0,0,15,0,2025-11-01T15:00:00.000Z,https://www.namecheap.com/market/sale/egxBqhNjrwUqeoJAJw3n4E/
choicewing.com,choicewing,10,12,True,True,8,2,2,0,0,0,0,0,0,15,0,2025-10-29T15:00:00.000Z,https://www.namecheap.com/market/sale/pQn7gKCXk1DhZhfFdfmgpe/
